"module","schema_version","data_version"
"Mageplaza_Blog","2.5.5","2.5.5"
"Mageplaza_Core","1.0.0","1.0.0"
"Mageplaza_CronSchedule","1.0.0","1.0.0"
"Mageplaza_LayeredNavigation","2.0.0","2.0.0"
"Mageplaza_LoginAsCustomer","1.0.0","1.0.0"
"Mageplaza_Search","1.0.0","1.0.0"
"Mageplaza_Smtp","1.2.5","1.2.5"
"Mageplaza_ZohoCRM","1.0.1","1.0.1"
"MageSuite_Magepack","1.0.0","1.0.0"
"MageWorx_DynamicOptionsBase","1.0.1","1.0.1"
"MageWorx_HtmlSitemap","2.0.0","2.0.0"
"MageWorx_Info","1.0.0","1.0.0"
"MageWorx_OptionAdvancedPricing","2.0.1","2.0.1"
"MageWorx_OptionBase","2.0.5","2.0.5"
"MageWorx_OptionDependency","2.0.10","2.0.10"
"MageWorx_OptionFeatures","1.0.20","1.0.20"
"MageWorx_OptionHealthChecker","1.0.0","1.0.0"
"MageWorx_OptionImportExport","2.0.0","2.0.0"
"MageWorx_OptionInventory","2.0.1","2.0.1"
"MageWorx_OptionLink","2.0.1","2.0.1"
"MageWorx_OptionSkuPolicy","2.0.0","2.0.0"
"MageWorx_OptionSwatches","2.0.1","2.0.1"
"MageWorx_OptionTemplates","2.0.6","2.0.6"
"MageWorx_OptionVisibility","2.0.1","2.0.1"
"MageWorx_OrderEditor","2.10.0","2.10.0"
"MageWorx_OrdersBase","2.0.0","2.0.0"
"MageWorx_OrdersGrid","1.2.0","1.2.0"
"MageWorx_SeoAll","2.0.0","2.0.0"
"MageWorx_SeoBase","2.2.1","2.2.1"
"MageWorx_SeoBreadcrumbs","2.0.0","2.0.0"
"MageWorx_SeoCategoryGrid","1.0.0","1.0.0"
"MageWorx_SeoCrossLinks","2.1.1","2.1.1"
"MageWorx_SeoExtended","2.1.2","2.1.2"
"MageWorx_SeoMarkup","2.1.0","2.1.0"
"MageWorx_SeoRedirects","2.2.1","2.2.1"
"MageWorx_SeoReports","2.0.1","2.0.1"
"MageWorx_SeoUrls","2.0.0","2.0.0"
"MageWorx_SeoXTemplates","2.0.8","2.0.8"
"MageWorx_ShortUrls","1.0.0","1.0.0"
"MageWorx_XmlSitemap","2.0.4","2.0.4"
"Makewebbetter_HubIntegration","4.0.6","4.0.6"
"Mirasvit_Core","1.0.4","1.0.4"
"Mirasvit_Dashboard","1.0.3","1.0.3"
"Mirasvit_Event","1.0.0","1.0.0"
"Mirasvit_Helpdesk","1.0.15","1.0.15"
