"scope","scope_id","path"
"default","0","weltpixel_googletagmanager/general/track_reviewsscore"
"default","0","weltpixel_googletagmanager/general/track_reviewsscore_indexnumber"
"default","0","weltpixel_googletagmanager/general/track_saleproduct"
"default","0","weltpixel_googletagmanager/general/track_saleproduct_indexnumber"
"default","0","weltpixel_googletagmanager/general/track_stockstatus"
"default","0","weltpixel_googletagmanager/general/track_stockstatus_indexnumber"
"default","0","weltpixel_googletagmanager/json_export/public_id"
"default","0","weltpixel_infinite_scroll/advanced/loading_early"
"default","0","weltpixel_infinite_scroll/advanced/load_more"
"default","0","weltpixel_infinite_scroll/advanced/prev_next"
"default","0","weltpixel_infinite_scroll/advanced/text_loading"
"default","0","weltpixel_infinite_scroll/advanced/text_loadnext"
"default","0","weltpixel_infinite_scroll/advanced/text_loadprevious"
"default","0","weltpixel_infinite_scroll/advanced/text_nomore"
"default","0","weltpixel_infinite_scroll/advanced/use_custom_loading_placeholder"
"default","0","weltpixel_infinite_scroll/general/ajax_catalog"
"default","0","weltpixel_infinite_scroll/general/ajax_catalog_advanced"
"default","0","weltpixel_infinite_scroll/general/ajax_catalog_category"
"default","0","weltpixel_infinite_scroll/general/ajax_catalog_mode"
"default","0","weltpixel_infinite_scroll/general/ajax_catalog_search"
"default","0","weltpixel_lazy_loading/advanced/effect_speed"
"default","0","weltpixel_lazy_loading/advanced/loading_early"
"default","0","weltpixel_lazy_loading/advanced/loading_placeholder"
"default","0","weltpixel_lazy_loading/general/enable"
"default","0","weltpixel_megamenu/megamenu/enable"
"default","0","weltpixel_megamenu/megamenu/width_threshold"
"default","0","weltpixel_megamenu/megamenu_design_settings/background_mm_color"
"default","0","weltpixel_megamenu/megamenu_design_settings/enable"
"default","0","weltpixel_megamenu/megamenu_design_settings/font_mm_color"
"default","0","weltpixel_megamenu/megamenu_design_settings/font_mm_hover_color"
"default","0","weltpixel_megamenu/megamenu_design_settings/label_mm_border_radius"
"default","0","weltpixel_megamenu/megamenu_design_settings/links_level0_mm_padding"
"default","0","weltpixel_megamenu/megamenu_design_settings/links_level1_mm_padding"
"default","0","weltpixel_megamenu/megamenu_design_settings/links_mm_font_size_l0"
"default","0","weltpixel_megamenu/megamenu_design_settings/links_mm_font_size_l1"
"default","0","weltpixel_megamenu/megamenu_design_settings/links_mm_font_size_l2"
"default","0","weltpixel_megamenu/megamenu_design_settings/links_mm_hover_options"
"default","0","weltpixel_megamenu/megamenu_design_settings/links_mm_hover_underline"
"default","0","weltpixel_megamenu/megamenu_design_settings/links_mm_overlay_focus"
"default","0","weltpixel_megamenu/megamenu_design_settings/links_mm_padding"
"default","0","weltpixel_megamenu/megamenu_design_settings/links_mm_text_transform"
"default","0","weltpixel_megamenu/megamenu_design_settings/links_mm_top_level_continuity"
"default","0","weltpixel_megamenu/megamenu_design_settings/sub_links_mm_padding"
"default","0","weltpixel_megamenu/notification/notification_msg"
"default","0","weltpixel_owl_carousel_config/bestsell_products/autoplay"
"default","0","weltpixel_owl_carousel_config/bestsell_products/autoplayHoverPause"
"default","0","weltpixel_owl_carousel_config/bestsell_products/autoplayTimeout"
"default","0","weltpixel_owl_carousel_config/bestsell_products/center_brk1"
"default","0","weltpixel_owl_carousel_config/bestsell_products/center_brk2"
"default","0","weltpixel_owl_carousel_config/bestsell_products/center_brk3"
"default","0","weltpixel_owl_carousel_config/bestsell_products/center_brk4"
"default","0","weltpixel_owl_carousel_config/bestsell_products/dotsEach_brk1"
"default","0","weltpixel_owl_carousel_config/bestsell_products/dotsEach_brk2"
"default","0","weltpixel_owl_carousel_config/bestsell_products/dotsEach_brk3"
"default","0","weltpixel_owl_carousel_config/bestsell_products/dotsEach_brk4"
"default","0","weltpixel_owl_carousel_config/bestsell_products/dotsSpeed"
"default","0","weltpixel_owl_carousel_config/bestsell_products/dots_brk1"
"default","0","weltpixel_owl_carousel_config/bestsell_products/dots_brk2"
"default","0","weltpixel_owl_carousel_config/bestsell_products/dots_brk3"
"default","0","weltpixel_owl_carousel_config/bestsell_products/dots_brk4"
